	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
336	1970-01-01 00:00:00.000000336	0.09194390186978811	0.24802329634313056	0.012769986375939851	3.009430819172932e-07	1.9656665970741788e-10
337	1970-01-01 00:00:00.000000337	0.09223671119567442	0.24860571217506994	0.01281065434024698	2.99445090068909e-07	1.9636255630480753e-10
338	1970-01-01 00:00:00.000000338	0.09252949694020703	0.24918649100721876	0.012851319030236992	3.0073234311836014e-07	1.961965249662606e-10
339	1970-01-01 00:00:00.000000339	0.09282230536572925	0.24976816445404154	0.012891986855510592	3.0175453665766656e-07	1.9587371104115642e-10
340	1970-01-01 00:00:00.000000340	0.09311475820970459	0.25032382422022764	0.012932605300044706	3.150317808223873e-07	1.9342098318423178e-10
341	1970-01-01 00:00:00.000000341	0.09340798423760813	0.2508989909549636	0.012973331135864342	3.20120977641187e-07	1.9326585696897409e-10
342	1970-01-01 00:00:00.000000342	0.09370060982745661	0.25145692331556646	0.013013973581727484	3.415987513864972e-07	1.9219420118599094e-10
343	1970-01-01 00:00:00.000000343	0.0939941485425336	0.2520342402755986	0.013054742852172726	3.414430732451054e-07	1.9203927226424611e-10
344	1970-01-01 00:00:00.000000344	0.09428782605985293	0.2526129528836988	0.013095531386013892	3.426699939758954e-07	1.9190110302924577e-10
345	1970-01-01 00:00:00.000000345	0.09458151118542686	0.25318880517944536	0.01313632098185155	3.4231843315048937e-07	1.9172064189976691e-10
346	1970-01-01 00:00:00.000000346	0.09487533480576761	0.25376690230025445	0.013177129812383375	3.422881671440204e-07	1.9154327097969876e-10
347	1970-01-01 00:00:00.000000347	0.09516963375946713	0.25436591356843385	0.013218004685893969	3.363178225641737e-07	1.92046431873095e-10
348	1970-01-01 00:00:00.000000348	0.09546252980603953	0.2550107007490887	0.013258684680132428	3.293322427010668e-07	1.9314202752051354e-10
349	1970-01-01 00:00:00.000000349	0.09575674037593483	0.25558057864249467	0.013299547250600962	3.283077130749199e-07	1.9288141077527039e-10
350	1970-01-01 00:00:00.000000350	0.09605124850991502	0.25614969011164807	0.013340451167805367	3.2968127130844856e-07	1.9266482655439745e-10
